thomas_num,thomas_name,last_name,first_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag
40,"Bray, William",Bray, William,986,93,1973,IN,6,0,0,1950,0,0,0,65,4225,0.333999991,0.380999982,0.653500021,11,0,0,0,0,0,12,144,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.031010453,
41,"Breaux, John",Breaux, John,13056,93,1973,LA,7,1,1,1972,0,0,0,100,10000,-0.086000003,0.039000005,0.233500004,8,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,44,0,0,0,0,0,0,0,0,0,45,1,1,1,1,1.163800001,
42,"Breckinridge, John",Breckinridge, John,14006,93,1973,KY,6,1,1,1972,0,0,0,52,2704,-0.200000003,0.152999997,0.119499996,7,0,0,0,0,0,1,1,1,0.078000002,0,0,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0.483700216,
43,"Brinkley, Jack",Brinkley, Jack,11005,93,1973,GA,3,1,1,1966,0,0,0,100,10000,-0.013,0.033999998,0.306499988,10,0,0,0,0,0,4,16,1,0.142000005,0,0,1,1,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0.217073172,
44,"Brooks, Jack",Brooks, Jack,1077,93,1973,TX,9,1,1,1952,0,0,0,66,4356,-0.354000002,0.307000011,0.034500003,24,0,0,1,0,0,11,121,1,0.191,0,0,1,1,3,3,3,3,0,12,2,2,2,1,0,0,0,0,0,15,5,5,5,1,2.58659482,
45,"Broomfield, William",Broomfield, William,1087,93,1973,MI,19,0,0,1956,0,0,0,70,4900,0.202000007,0.249000013,0.521499991,19,0,0,0,0,0,9,81,1,0.463,0,0,0,0,0,0,0,0,0,40,0,0,0,0,3,0,0,0,0,43,0,0,0,0,0.209837392,
46,"Brotzman, Donald",Brotzman, Donald,10572,93,1973,CO,2,0,0,1962,0,0,0,66,4356,0.131999999,0.179000005,0.451499999,5,0,0,0,1,0,6,36,1,0.284000009,0,0,0,0,2,1,1,0,0,59,0,0,0,0,4,1,1,1,1,65,2,2,1,1,0.797007978,
47,"Brown, Clarence",Brown, Clarence,10786,93,1973,OH,7,0,0,1965,0,0,0,73,5329,0.282999992,0.329999983,0.602500021,23,0,0,0,0,0,5,25,0,0,0,0,0,0,2,1,1,0,0,23,1,1,1,1,1,0,0,0,0,26,2,2,1,1,0.978265464,
48,"Brown, Gary",Brown, Gary,11006,93,1973,MI,3,0,0,1966,0,0,0,59,3481,0.25999999,0.306999981,0.57950002,19,0,0,0,0,0,4,16,1,0.463,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,19,0,0,0,0,0.089930311,
49,"Brown, George",Brown, George,10573,93,1973,CA,38,1,1,1972,0,0,0,56,3136,-0.532999992,0.486000001,0.213499993,43,0,0,0,0,0,1,1,1,0.526000023,0,0,0,0,0,0,0,0,0,47,0,0,0,0,3,1,1,1,1,50,1,1,1,1,0.338621587,
50,"Broyhill, James",Broyhill, James,10574,93,1973,NC,10,0,0,1962,0,0,0,73,5329,0.261000007,0.307999998,0.580500007,11,0,0,0,0,1,6,36,0,0,0,0,1,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0.186062723,
51,"Broyhill, Joel",Broyhill, Joel,1154,93,1973,VA,10,0,0,1952,0,0,0,56,3136,0.211999997,0.259000003,0.531499982,10,0,0,0,1,1,11,121,0,0,0,0,1,0,2,2,2,2,0,109,1,1,1,1,38,3,3,3,0,149,6,6,6,1,2.420689583,
52,"Buchanan, John",Buchanan, John,10706,93,1973,AL,6,0,0,1964,0,0,0,60,3600,0.128000006,0.175000012,0.44750002,7,0,0,0,0,0,5,25,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.031010453,
53,"Burgener, Clair",Burgener, Clair,14007,93,1973,CA,42,0,0,1972,0,0,0,68,4624,0.247999996,0.294999987,0.567499995,43,0,0,0,0,0,1,1,1,0.526000023,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,1,1,1,1,11,1,1,1,1,0.137053624,
54,"Burke, Yvonne",Burke, Yvonne,14008,93,1973,CA,37,1,1,1972,1,1,0,73,5329,-0.589999974,0.542999983,0.270499974,43,0,0,0,0,0,1,1,1,0.526000023,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,1,1,0,0,19,1,1,0,0,0.127396137,
55,"Burke, James",Burke, James,1265,93,1973,MA,11,1,1,1958,0,0,0,100,10000,-0.389999986,0.342999995,0.070499986,12,0,0,0,1,1,8,64,0,0,0,0,0,0,1,1,1,0,0,77,0,0,0,0,6,0,0,0,0,84,1,1,0,0,0.789164543,
56,"Burke, J.",Burke, J.,11007,93,1973,FL,12,0,0,1966,0,0,0,63,3969,0.224000007,0.270999998,0.543500006,15,0,0,0,0,0,4,16,0,0,0,0,1,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0.320441335,
57,"Burleson, Omar",Burleson, Omar,1282,93,1973,TX,17,1,1,1946,0,0,0,100,10000,0.180999994,0.228,0.500500023,24,0,0,0,1,0,14,196,0,0,0,0,1,1,1,0,0,0,0,23,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0.130243897,
58,"Burlison, Bill",Burlison, Bill,12004,93,1973,MO,10,1,1,1968,0,0,0,64,4096,-0.372999996,0.326000005,0.053499997,10,0,0,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,1,1,1,1,1,1,12,2,2,2,2,0.613518059,
59,"Burton, John",Burton, John,14076,93,1973,CA,6,1,1,1974,0,0,0,,,-0.538999975,0.491999984,0.219499975,43,0,0,0,0,0,1,1,1,0.526000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0.008269454,
60,"Burton, Phillip",Burton, Phillip,10577,93,1973,CA,5,1,1,1964,0,0,0,82,6724,-0.657999992,0.611000001,0.338499993,43,0,0,1,0,0,5,25,1,0.526000023,0,0,0,0,1,1,1,1,0,44,2,2,2,2,49,7,7,5,5,94,10,10,8,7,2.33256197,
61,"Butler, M.",Butler, M.,13055,93,1973,VA,6,0,0,1972,0,0,0,55,3025,0.272000015,0.319000006,0.591500044,10,0,0,0,0,0,1,1,1,0.164000005,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0.0113705,
