thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag
6142,"Schaffer, Bob",29711,106,1999,CO,4,0,1,1996,0,0,0,59,3481,0.862999976,0.704999983,0.419999987,6,0,0,0,0,0,2,4,1,0.172000006,0,0,0,0,0,0,0,0,0,6,1,1,1,1,0,0,0,0,0,6,1,1,1,1,0.623570621,1.187763333
6585,"Schaffer, Bob",29711,107,2001,CO,4,0,1,1996,0,0,0,79,6241,0.862999976,0.659999967,0.390999973,6,0,0,0,0,0,3,9,1,0.172000006,0,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,1,1,1,9,1,2,1,1,0.473855376,0.623570621
7074,"Tancredo, Thomas",29907,108,2003,CO,6,0,1,1998,0,0,0,67,4489,0.85799998,0.602999985,0.35799998,7,0,0,0,0,1,3,9,1,0.172000006,0,0,0,0,0,0,0,0,0,19,3,4,3,1,0,0,0,0,0,19,3,4,3,1,1.770557761,2.13206625
7686,"Duncan, John",15455,110,2007,TN,2,0,0,1988,0,0,0,78,6084,0.856999993,1.034000039,1.263000011,9,0,0,0,0,0,10,100,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,10,1,0,0,0,0.202265844,0.369768232
6853,"Hensarling, Jeb",20352,108,2003,TX,5,0,1,2002,0,0,0,58,3364,0.852999985,0.59799999,0.352999985,32,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.066409901,
7297,"Hensarling, Jeb",20352,109,2005,TX,5,0,1,2002,0,0,0,64,4096,0.852999985,0.550000012,0.338999987,32,0,0,0,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0,8,2,2,1,0,1,0,0,0,0,9,2,2,1,0,0.708097398,0.066409901
7744,"Hensarling, Jeb",20352,110,2007,TX,5,0,0,2002,0,0,0,62,3844,0.852999985,1.029999971,1.258999944,32,0,0,0,0,1,3,9,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0.162937075,0.708097398
7797,"Lamborn, Doug",20704,110,2007,CO,5,0,0,2006,0,0,0,60,3600,0.851999998,1.029000044,1.258000016,7,0,0,0,0,0,1,1,1,0.202000007,0,0,0,0,0,0,0,0,0,14,3,2,2,0,0,0,0,0,0,14,3,2,2,0,0.796190977,
7045,"Sensenbrenner, F.",14657,108,2003,WI,5,0,1,1978,0,0,0,87,7569,0.850000024,0.595000029,0.350000024,8,0,1,0,0,0,13,169,1,0.248999998,0,0,0,0,6,5,6,6,2,27,11,14,13,7,0,0,0,0,0,33,16,20,19,9,12.25478363,13.76997089
7048,"Shadegg, John",29501,108,2003,AZ,3,0,1,1994,0,0,0,67,4489,0.848999977,0.593999982,0.348999977,8,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0.315447032,0.306261867
2527,"Paul, Ron",14290,98,1983,TX,22,0,0,1976,0,0,0,99,9801,0.846000016,0.972000003,1.151000023,27,0,0,0,0,0,4,16,0,0,0,0,1,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0.613938034,0.312177569
6626,"Tancredo, Thomas",29907,107,2001,CO,6,0,1,1998,0,0,0,54,2916,0.832000017,0.629000008,0.360000014,6,0,0,0,0,0,2,4,1,0.172000006,0,0,0,0,2,2,1,1,0,18,1,2,1,1,1,0,0,0,0,21,3,3,2,1,2.13206625,0.769982755
7178,"Campbell, John",20539,109,2005,CA,48,0,1,2005,0,0,0,,,0.825999975,0.523000002,0.311999977,53,0,0,0,0,0,1,1,1,0.625999987,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.041956719,
7623,"Campbell, John",20539,110,2007,CA,48,0,0,2005,0,0,0,60,3600,0.825999975,1.003000021,1.231999993,53,0,0,0,0,1,2,4,1,0.625999987,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,12,1,1,0,0,0.319258869,0.041956719
7914,"Rohrabacher, Dana",15621,110,2007,CA,46,0,0,1988,0,0,0,60,3600,0.825999975,1.003000021,1.231999993,53,0,0,0,0,0,10,100,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,11,0,1,1,0,0.317795187,1.075068474
6593,"Shadegg, John",29501,107,2001,AZ,4,0,1,1994,0,0,0,64,4096,0.822000027,0.619000018,0.350000024,6,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,12,1,0,0,0,0.306261867,0.731518447
7673,"Deal, Nathan",99342,110,2007,GA,9,0,0,1992,0,0,0,77,5929,0.82099998,0.997999966,1.226999998,13,0,0,0,0,0,8,64,1,0.133000001,0,0,1,0,0,0,0,0,0,10,0,0,0,0,3,2,3,3,3,13,2,3,3,3,0.482775271,2.02487278
6590,"Sensenbrenner, F.",14657,107,2001,WI,9,0,1,1978,0,0,0,74,5476,0.813000023,0.610000014,0.341000021,9,0,1,0,0,0,12,144,1,0.248999998,0,0,0,0,12,6,11,11,5,16,6,6,5,3,0,0,0,0,0,28,12,17,16,8,13.76997089,2.084671974
223,"Landgrebe, Earl",12020,93,1973,IN,2,0,0,1968,0,0,0,55,3025,0.811999977,0.858999968,1.131500006,11,0,0,0,0,0,3,9,1,0.143000007,0,0,0,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0.165389076,
7296,"Hefley, Joel",15419,109,2005,CO,5,0,1,1986,0,0,0,71,5041,0.81099999,0.508000016,0.296999991,7,0,0,1,0,0,10,100,1,0.284000009,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,16,1,0,0,0,0.345546454,1.042025328
7238,"Duncan, John",15455,109,2005,TN,2,0,1,1988,0,0,0,79,6241,0.809000015,0.506000042,0.295000017,9,0,0,1,0,0,9,81,0,0,0,0,1,0,0,0,0,0,0,10,1,1,0,0,1,0,0,0,0,11,1,1,0,0,0.369768232,0.770723283
6179,"Tancredo, Thomas",29907,106,1999,CO,6,0,1,1998,0,0,0,56,3136,0.805999994,0.648000002,0.363000005,6,0,0,0,0,0,1,1,1,0.172000006,0,0,0,0,0,0,0,0,0,11,1,2,2,0,1,1,1,1,1,12,2,3,3,1,0.769982755,
4965,"Coburn, Tom",29555,104,1995,OK,2,0,1,1994,0,0,0,52,2704,0.80400002,0.620999992,0.386000007,6,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.114784405,
5412,"Coburn, Tom",29555,105,1997,OK,2,0,1,1994,0,0,0,55,3025,0.80400002,0.612500012,0.369000018,6,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.144646242,0.114784405
5862,"Coburn, Tom",29555,106,1999,OK,2,0,1,1994,0,0,0,58,3364,0.80400002,0.646000028,0.361000031,6,0,0,0,0,0,3,9,0,0,0,0,1,0,1,0,0,0,0,9,1,1,1,0,0,0,0,0,0,10,1,1,1,0,0.45768553,0.144646242
4973,"Cooley, Wes",29557,104,1995,OR,2,0,1,1994,0,0,0,57,3249,0.802999973,0.619999945,0.384999961,5,0,0,0,0,0,1,1,1,0.182999998,0,0,0,0,1,1,0,0,0,11,6,5,2,1,2,1,1,1,1,14,8,6,3,2,2.004414082,
7466,"Rohrabacher, Dana",15621,109,2005,CA,46,0,1,1988,0,0,0,62,3844,0.796999991,0.493999988,0.282999992,53,0,0,1,0,0,9,81,0,0,0,0,0,0,0,0,0,0,0,18,3,3,1,0,1,0,0,0,0,19,3,3,1,0,1.075068474,2.001401663
6148,"Shadegg, John",29501,106,1999,AZ,4,0,1,1994,0,0,0,65,4225,0.795000017,0.637000024,0.352000028,6,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,1,0,0,0,0,0,13,1,1,1,1,0.731518447,1.309940457
7553,"Westmoreland, Lynn",20506,109,2005,GA,8,0,1,2004,0,0,0,76,5776,0.795000017,0.492000014,0.281000018,13,0,0,0,0,0,1,1,1,0.115999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8002,"Westmoreland, Lynn",20506,110,2007,GA,3,0,0,2004,0,0,0,68,4624,0.795000017,0.972000003,1.200999975,13,0,0,0,0,0,2,4,1,0.115999997,0,0,1,0,0,0,0,0,0,2,0,1,1,1,1,1,1,1,1,3,1,2,2,2,0.675237775,0
7471,"Royce, Edward",29321,109,2005,CA,40,0,1,1992,0,0,0,68,4624,0.79400003,0.491000026,0.280000031,53,0,0,1,0,0,7,49,1,0.625,0,0,0,0,0,0,0,0,0,9,2,1,1,0,0,0,0,0,0,9,2,1,1,0,0.613947749,0.430036306
