,thomas_num,thomas_name,first_name,last_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,votepct,votepct_sq,dwnom1,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,maj_leader,min_leader,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les
1334,1334,"Addabbo, Joseph", Joseph,Addabbo,10500,96,1979,NY,7,1,1,1960,0,95,9025,-0.465000004,39,0,0,1,1,0,10,100,0,0,3,3,3,3,3,23,0,0,0,0,3,0,0,0,0,29,3,3,3,3,2.920180082
1774,1774,"Addabbo, Joseph", Joseph,Addabbo,10500,97,1981,NY,7,1,1,1960,0,95,9025,-0.486999989,39,0,0,1,1,0,11,121,0,0,2,1,2,2,1,24,1,0,0,0,1,0,1,1,1,27,2,3,3,2,2.076125383
2221,2221,"Addabbo, Joseph", Joseph,Addabbo,10500,98,1983,NY,6,1,1,1960,0,96,9216,-0.509000003,34,0,0,1,1,0,12,144,0,0,2,2,2,1,1,23,2,0,0,0,0,0,0,0,0,25,4,2,1,1,1.600187063
2666,2666,"Addabbo, Joseph", Joseph,Addabbo,10500,99,1985,NY,6,1,1,1960,0,83,6889,-0.531000018,34,0,0,1,1,0,13,169,0,0,2,2,2,2,0,10,1,0,0,0,0,0,0,0,0,12,3,2,2,0,1.371177316
5341,5341,"Aderholt, Robert", Robert,Aderholt,29701,105,1997,AL,4,0,1,1996,0,50,2500,0.477999985,7,0,0,0,1,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.0904039
5790,5790,"Aderholt, Robert", Robert,Aderholt,29701,106,1999,AL,4,0,1,1996,0,56,3136,0.476999998,7,0,0,0,1,0,2,4,0,0,0,0,0,0,0,4,0,1,1,0,1,1,1,1,1,5,1,2,2,1,0.373981684
6233,6233,"Aderholt, Robert", Robert,Aderholt,29701,107,2001,AL,4,0,1,1996,0,61,3721,0.476999998,7,0,0,0,1,0,3,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.031213993
6680,6680,"Aderholt, Robert", Robert,Aderholt,29701,108,2003,AL,4,0,1,1996,0,87,7569,0.476999998,7,0,0,0,1,0,4,16,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0.194318473
7123,7123,"Aderholt, Robert", Robert,Aderholt,29701,109,2005,AL,4,0,1,1996,0,75,5625,0.476000011,7,0,0,0,1,0,5,25,0,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0,0,7,1,1,1,0,0.464199334
7567,7567,"Aderholt, Robert", Robert,Aderholt,29701,110,2007,AL,4,0,0,1996,0,70,4900,0.476000011,7,0,0,0,1,0,6,36,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,1,0,4,0,2,2,0,0.256018013
